"CasinoManufacturerId,""CasinoManufacturerName"",""FromDate"",""ToDate"",""LatestFlag"""
178,King Show Games,2023-03-07 09:57:19.657,2025-05-26 08:03:28.707,0
178,KingShowGames,2025-05-26 08:03:28.707,,1
179,CrazyBillions,2023-03-27 11:18:54.003,,1
180,AdLunam,2023-04-28 14:10:45.610,,1
181,NailedItGames,2023-04-05 09:01:17.647,,1
182,AreaVegas,2023-04-05 10:01:37.497,2024-04-11 14:26:52.757,0
182,Area Vegas,2024-04-11 14:26:52.757,,1
183,Kajot,2023-04-12 11:38:17.520,,1
184,Wishbone,2023-05-03 13:30:31.893,,1
185,ESA,2023-11-03 11:09:59.613,,1
186,AnimakGaming,2023-05-26 07:00:40.460,2025-05-16 06:39:45.880,0
186,Animak Gaming,2025-05-16 06:39:45.880,,1
187,SlotFactory,2023-05-29 16:06:32.420,,1
188,ApolloGames,2023-05-29 11:49:43.480,2024-04-07 22:34:56.153,0
188,Apollo Games,2024-04-07 22:34:56.153,,1
190,HighlimitStudio,2023-06-08 11:21:25.617,,1
191,MobileFX,2023-06-12 06:50:17.250,2023-06-19 12:15:53.360,0
191,Mobilefx,2023-06-19 12:15:53.360,,1
192,Slotmasters,2023-06-12 08:03:24.923,,1
193,Hammertime,2023-06-13 08:07:22.180,,1
196,Backseat Gaming,2023-09-21 10:55:56.987,2025-05-22 06:52:06.193,0
196,BackseatGaming,2025-05-22 06:52:06.193,,1
197,Smartsoft,2023-07-19 09:26:12.710,,1
198,Blue Ring Studios,2023-07-28 11:58:05.160,2024-01-23 14:45:56.567,0
198,BlueRingStudios,2024-01-23 14:45:56.567,,1
199,Boldplay,2024-02-02 10:34:10.330,,1
200,Twain Sport,2023-08-10 07:50:03.210,2023-08-10 07:52:22.673,0
200,TwainSport,2023-08-10 07:52:22.673,,1
201,Spadegaming,2023-08-16 14:08:04.373,,1
202,RetroGaming,2023-08-21 14:26:02.623,,1
204,AirDice,2024-04-15 10:30:53.080,2024-09-06 13:30:36.913,0
204,Airdice,2024-09-06 13:30:36.913,,1
205,PowderkegStudios,2023-11-07 12:51:55.330,,1
